ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),Location,Total Towers(Present),Total Towers(before 5 years)
21238,Lyca Mobile,MTower,503,Sparrow,56,Madison,253,300
21239,T-Mobile,GTower,488,Spotted Dove,49,Cheyenne,894,50
21240,AT&T,LTower,744,Bulbul,35,Alabama,839,220
21241,AT&T,MTower,605,Kite,36,Alaska,192,190
21242,Mint Mobile,GTower,623,Sparrow,41,Arizona,459,211
21243,Lyca Mobile,LTower,549,Spotted Dove,42,Arkansas,741,273
21244,Verizon,GTower,675,Kite,58,California,493,103
21245,T-Mobile,LTower,508,Bulbul,67,Colorado,330,73
21246,Lyca Mobile,MTower,374,Sparrow,68,Connecticut,383,106
21247,AT&T,LTower,616,Bulbul,20,Delaware,865,299
21248,Mint Mobile,GTower,358,Kite,75,Florida,115,144
21249,Verizon,GTower,554,Spotted Dove,29,Georgia,157,64
21250,Lyca Mobile,MTower,639,Sparrow,39,Hawaii,441,186
21251,T-Mobile,LTower,319,Sparrow,80,Idaho,883,111
21252,AT&T,MTower,652,Bulbul,56,Illinois,852,208
21253,AT&T,GTower,520,Kite,40,Indiana,351,103
21254,Mint Mobile,LTower,702,Bulbul,31,Iowa,122,84
21255,Lyca Mobile,MTower,449,Sparrow,68,Kansas,532,291
21256,Verizon,GTower,435,Spotted Dove,37,Kentucky,336,280
21257,T-Mobile,LTower,827,Kite,30,Louisiana,537,283
21258,Lyca Mobile,GTower,858,Bulbul,57,Maine,562,265
21259,AT&T,LTower,407,Sparrow,38,Maryland,361,287
21260,Mint Mobile,MTower,348,Spotted Dove,78,Massachusetts,185,72
21261,Verizon,LTower,809,Bulbul,31,Michigan,611,188
21262,Lyca Mobile,GTower,389,Kite,80,Minnesota,700,119
21263,T-Mobile,GTower,690,Sparrow,61,Mississippi,872,72
21264,AT&T,MTower,638,Spotted Dove,30,Missouri,351,90
21265,AT&T,LTower,680,Kite,78,Montana,775,67
21266,Mint Mobile,MTower,696,Bulbul,64,Nebraska,384,220
21267,Lyca Mobile,GTower,315,Sparrow,44,Nevada,444,101
21268,Verizon,LTower,841,Bulbul,68,New Hampshire,122,279
21269,T-Mobile,MTower,814,Kite,30,New Jersey,628,284
21270,Lyca Mobile,GTower,593,Spotted Dove,67,New Mexico,884,103
21271,AT&T,LTower,754,Sparrow,52,New York,211,145
21272,Mint Mobile,GTower,549,Sparrow,24,North Carolina,687,71
21273,Verizon,LTower,490,Bulbul,32,North Dakota,656,269
21274,Lyca Mobile,MTower,526,Kite,61,Ohio,695,297
21275,T-Mobile,LTower,793,Bulbul,46,Oklahoma,831,249
21276,AT&T,GTower,676,Sparrow,48,Oregon,786,169
21277,AT&T,GTower,322,Spotted Dove,45,Pennsylvania,378,81
21278,Mint Mobile,MTower,729,Kite,71,Rhode Island,812,113
21279,Lyca Mobile,LTower,487,Bulbul,48,South Carolina,806,274
21280,Verizon,MTower,605,Sparrow,32,South Dakota,780,260
21281,T-Mobile,GTower,818,Spotted Dove,66,Tennessee,831,282
21282,Lyca Mobile,LTower,845,Bulbul,66,Texas,491,98
21283,AT&T,MTower,833,Kite,40,Utah,784,79
21284,Mint Mobile,GTower,668,Sparrow,25,Vermont,635,172
21285,Verizon,LTower,663,Spotted Dove,39,Virginia,326,199
21286,Lyca Mobile,GTower,574,Kite,72,Washington,540,91
21287,T-Mobile,LTower,731,Bulbul,47,West Virginia,373,141
21288,AT&T,MTower,826,Sparrow,66,Wisconsin,571,76
21289,AT&T,LTower,427,Bulbul,68,Wyoming,434,87
21290,Mint Mobile,GTower,533,Kite,43,Montgomery,533,181
21291,Lyca Mobile,GTower,557,Spotted Dove,61,Juneau,316,201
21292,Verizon,MTower,684,Sparrow,40,Phoenix,448,283
21293,T-Mobile,LTower,441,Sparrow,65,Little Rock,580,182
21294,Lyca Mobile,MTower,311,Bulbul,22,Sacramento,664,189
21295,AT&T,GTower,628,Kite,25,Denver,655,222
21296,Mint Mobile,LTower,669,Bulbul,35,Hartford,463,282
21297,Verizon,MTower,722,Sparrow,45,Dover,279,182
21298,Lyca Mobile,GTower,423,Spotted Dove,75,Tallahassee,715,55
21299,T-Mobile,LTower,853,Kite,46,Atlanta,439,280
21300,AT&T,GTower,367,Bulbul,73,Honolulu,208,220
21301,AT&T,LTower,720,Sparrow,70,Boise,714,166
21302,Mint Mobile,MTower,508,Spotted Dove,68,Springfield,703,84
21303,Lyca Mobile,LTower,596,Bulbul,68,Indianapolis,510,134
21304,Verizon,GTower,509,Kite,65,Des Moines,262,255
21305,T-Mobile,GTower,850,Sparrow,68,Topeka,243,269
21306,Lyca Mobile,MTower,526,Spotted Dove,42,Frankfort,873,229
21307,AT&T,LTower,572,Kite,33,Baton Rouge,775,194
21308,Mint Mobile,MTower,734,Bulbul,80,Augusta,316,107
21309,Verizon,GTower,376,Sparrow,59,Annapolis,845,243
21310,Lyca Mobile,LTower,712,Bulbul,49,Boston,867,122
21311,T-Mobile,MTower,683,Kite,21,Lansing,845,102
21312,AT&T,GTower,632,Spotted Dove,31,St. Paul,156,270
21313,AT&T,LTower,337,Sparrow,32,Jackson,366,233
21314,Mint Mobile,GTower,569,Sparrow,73,Jefferson City,241,114
21315,Lyca Mobile,LTower,779,Bulbul,80,Helena,717,97
21316,Verizon,MTower,740,Kite,49,Lincoln,456,142
21317,T-Mobile,LTower,582,Bulbul,65,Carson City,755,97
21318,Lyca Mobile,GTower,372,Sparrow,61,Concord,874,240
21319,AT&T,GTower,757,Spotted Dove,68,Trenton,222,184
21320,Mint Mobile,MTower,318,Kite,49,Santa Fe,559,272
21321,Verizon,LTower,347,Bulbul,27,Albany,797,185
21322,Lyca Mobile,MTower,537,Sparrow,27,Raleigh,151,191
21323,T-Mobile,GTower,474,Spotted Dove,50,Bismarck,184,148
21324,AT&T,LTower,745,Bulbul,23,Columbus,334,75
21325,AT&T,MTower,321,Kite,20,Oklahoma City,598,299
21326,Mint Mobile,GTower,894,Sparrow,21,Salem,739,77
21327,Lyca Mobile,LTower,536,Spotted Dove,52,Harrisburg,775,180
21328,Verizon,GTower,556,Kite,43,Providence,556,135
21329,T-Mobile,LTower,692,Bulbul,29,Columbia,737,163
21330,Lyca Mobile,MTower,387,Sparrow,28,Pierre,712,122
21331,AT&T,LTower,434,Bulbul,73,Nashville,583,203
21332,Mint Mobile,GTower,345,Kite,70,Austin,541,110
21333,Verizon,GTower,851,Spotted Dove,27,Salt Lake City,393,233
21334,Lyca Mobile,MTower,355,Sparrow,25,Montpelier,589,73
21335,T-Mobile,LTower,414,Sparrow,50,Richmond,102,209
21336,AT&T,MTower,363,Bulbul,29,Olympia,512,259
21337,AT&T,GTower,334,Kite,77,Charleston,646,111
21338,Mint Mobile,LTower,397,Bulbul,41,Madison,487,95
21339,Lyca Mobile,MTower,802,Sparrow,40,Cheyenne,642,121
21340,Verizon,GTower,704,Spotted Dove,51,Alabama,296,245
21341,T-Mobile,LTower,394,Kite,80,Alaska,310,239
21342,Lyca Mobile,GTower,569,Bulbul,65,Arizona,764,214
21343,AT&T,LTower,518,Sparrow,57,Arkansas,599,168
21344,Mint Mobile,MTower,856,Spotted Dove,32,California,388,114
21345,Verizon,LTower,354,Bulbul,20,Colorado,715,104
21346,Lyca Mobile,GTower,500,Kite,73,Connecticut,438,280
21347,T-Mobile,GTower,302,Sparrow,63,Delaware,219,293
21348,AT&T,MTower,668,Spotted Dove,40,Florida,144,262
21349,AT&T,LTower,526,Kite,56,Georgia,844,194
21350,Mint Mobile,MTower,786,Bulbul,67,Hawaii,736,241
21351,Lyca Mobile,GTower,635,Sparrow,48,Idaho,246,229
21352,Verizon,LTower,347,Bulbul,58,Illinois,421,102
21353,T-Mobile,MTower,698,Kite,62,Indiana,255,67
21354,Lyca Mobile,GTower,515,Spotted Dove,71,Iowa,863,226
21355,AT&T,LTower,656,Sparrow,40,Kansas,577,197
21356,Mint Mobile,GTower,635,Sparrow,26,Kentucky,335,167
21357,Verizon,LTower,421,Bulbul,20,Louisiana,150,241
21358,Lyca Mobile,MTower,796,Kite,29,Maine,767,128
21359,T-Mobile,LTower,688,Bulbul,49,Maryland,157,227
21360,AT&T,GTower,873,Sparrow,47,Massachusetts,326,94
21361,AT&T,GTower,759,Spotted Dove,56,Michigan,227,151
21362,Mint Mobile,MTower,490,Kite,71,Minnesota,701,285
21363,Lyca Mobile,LTower,525,Bulbul,33,Mississippi,823,171
21364,Verizon,MTower,353,Sparrow,39,Missouri,292,93
21365,T-Mobile,GTower,361,Spotted Dove,74,Montana,479,103
21366,Lyca Mobile,LTower,398,Bulbul,30,Nebraska,133,224
21367,AT&T,MTower,582,Kite,77,Nevada,475,137
21368,Mint Mobile,GTower,592,Sparrow,31,New Hampshire,880,242
21369,Verizon,LTower,777,Spotted Dove,75,New Jersey,660,205
21370,Lyca Mobile,GTower,731,Kite,25,New Mexico,335,178
21371,T-Mobile,LTower,663,Bulbul,65,New York,660,86
21372,AT&T,MTower,858,Sparrow,68,North Carolina,662,208
21373,AT&T,LTower,639,Bulbul,48,North Dakota,578,113
21374,Mint Mobile,GTower,715,Kite,30,Ohio,160,275
21375,Lyca Mobile,GTower,489,Spotted Dove,39,Oklahoma,725,300
21376,Verizon,MTower,396,Sparrow,67,Vermont,596,159
21377,T-Mobile,LTower,509,Sparrow,36,Virginia,693,171
21378,Lyca Mobile,MTower,617,Bulbul,22,Washington,317,264
21379,AT&T,GTower,482,Kite,27,West Virginia,582,256
21380,Mint Mobile,LTower,744,Bulbul,76,Wisconsin,661,123
21381,Verizon,MTower,492,Sparrow,25,Wyoming,632,171
21382,Lyca Mobile,GTower,454,Spotted Dove,27,Montgomery,463,72
21383,T-Mobile,LTower,671,Kite,58,Juneau,508,265
21384,AT&T,GTower,614,Bulbul,72,Phoenix,608,269
21385,AT&T,LTower,364,Sparrow,76,Little Rock,316,159
21386,Mint Mobile,MTower,522,Spotted Dove,54,Sacramento,356,235
21387,Lyca Mobile,LTower,468,Bulbul,74,Denver,473,159
21388,Verizon,GTower,733,Kite,43,Hartford,250,224
21389,T-Mobile,GTower,687,Sparrow,76,Dover,228,121
21390,Lyca Mobile,MTower,688,Spotted Dove,41,Tallahassee,293,54
21391,AT&T,LTower,887,Kite,24,Atlanta,888,124
21392,Mint Mobile,MTower,332,Bulbul,72,Honolulu,806,75
21393,Verizon,GTower,533,Sparrow,41,Boise,677,291
21394,Lyca Mobile,LTower,416,Bulbul,23,Springfield,493,263
21395,T-Mobile,MTower,319,Kite,77,Indianapolis,141,212
21396,AT&T,GTower,897,Spotted Dove,30,Des Moines,232,133
21397,AT&T,LTower,771,Sparrow,72,Topeka,437,72
21398,Mint Mobile,GTower,802,Sparrow,59,Frankfort,546,117
21399,Lyca Mobile,LTower,304,Bulbul,38,Baton Rouge,412,116
21400,Verizon,MTower,795,Kite,57,Augusta,323,253
21401,T-Mobile,LTower,476,Bulbul,79,Annapolis,300,269
21402,Lyca Mobile,GTower,855,Sparrow,60,Boston,606,140
21403,AT&T,GTower,617,Spotted Dove,57,Lansing,832,136
21404,Mint Mobile,MTower,749,Kite,37,St. Paul,260,85
21405,Verizon,LTower,317,Bulbul,37,Jackson,198,151
21406,Lyca Mobile,MTower,377,Sparrow,36,Jefferson City,196,87
21407,T-Mobile,GTower,469,Spotted Dove,42,Helena,655,287
21408,AT&T,LTower,555,Bulbul,29,Lincoln,180,143
21409,AT&T,MTower,585,Kite,48,Carson City,546,109
21410,Mint Mobile,GTower,746,Sparrow,54,Concord,360,271
21411,Lyca Mobile,LTower,781,Spotted Dove,53,Trenton,106,62
21412,Verizon,GTower,607,Kite,52,Santa Fe,503,218
21413,T-Mobile,LTower,581,Bulbul,80,Albany,620,118
21414,Lyca Mobile,MTower,812,Sparrow,79,Raleigh,308,101
21415,AT&T,LTower,538,Bulbul,60,Bismarck,798,50
21416,Mint Mobile,GTower,735,Kite,41,Columbus,112,230
21417,Verizon,GTower,588,Spotted Dove,72,Oklahoma City,112,116
21418,Lyca Mobile,MTower,594,Sparrow,57,Salem,865,243
21419,T-Mobile,LTower,460,Sparrow,56,Harrisburg,742,233
21420,AT&T,MTower,863,Bulbul,69,Providence,296,217
21421,AT&T,GTower,740,Kite,21,Columbia,821,75
21422,Mint Mobile,LTower,499,Bulbul,71,Pierre,200,211
21423,Lyca Mobile,MTower,304,Sparrow,25,Nashville,601,82
21424,Verizon,GTower,314,Spotted Dove,69,Austin,530,180
21425,T-Mobile,LTower,476,Kite,69,Salt Lake City,210,180
21426,Lyca Mobile,GTower,635,Bulbul,25,Montpelier,564,213
21427,AT&T,LTower,724,Sparrow,73,Richmond,519,163
21428,Mint Mobile,MTower,885,Spotted Dove,46,Olympia,141,202
21429,Verizon,LTower,389,Bulbul,78,Charleston,543,175
21430,Lyca Mobile,GTower,796,Kite,65,Madison,386,125
21431,T-Mobile,GTower,693,Sparrow,77,Cheyenne,660,286
21432,AT&T,MTower,558,Spotted Dove,22,Alabama,353,99
21433,AT&T,LTower,611,Kite,52,Alaska,455,294
21434,Mint Mobile,MTower,587,Bulbul,78,Arizona,127,217
21435,Lyca Mobile,GTower,697,Sparrow,36,Arkansas,411,194
21436,Verizon,LTower,464,Bulbul,46,California,299,221
21437,T-Mobile,MTower,318,Kite,46,Colorado,208,285
21438,Lyca Mobile,GTower,877,Spotted Dove,20,Connecticut,688,154
21439,AT&T,LTower,421,Sparrow,47,Delaware,380,156
21440,Mint Mobile,GTower,444,Sparrow,78,Florida,311,94
21441,Verizon,LTower,647,Bulbul,58,Georgia,858,214
21442,Lyca Mobile,MTower,404,Kite,32,Hawaii,270,229
21443,T-Mobile,LTower,845,Bulbul,54,Idaho,605,157
21444,AT&T,GTower,577,Sparrow,45,Illinois,322,134
21445,AT&T,GTower,852,Spotted Dove,49,Indiana,106,212
21446,Mint Mobile,MTower,439,Kite,64,Iowa,519,290
21447,Lyca Mobile,LTower,358,Bulbul,23,Kansas,450,186
21448,Verizon,MTower,475,Sparrow,72,Kentucky,611,135
21449,T-Mobile,GTower,581,Spotted Dove,62,Louisiana,327,279
21450,Lyca Mobile,LTower,704,Bulbul,65,Maine,219,101
21451,AT&T,MTower,619,Kite,54,Maryland,144,207
21452,Mint Mobile,GTower,509,Sparrow,52,Massachusetts,508,297
21453,Verizon,LTower,851,Spotted Dove,49,Michigan,886,194
21454,Lyca Mobile,GTower,718,Kite,79,Minnesota,210,148
21455,T-Mobile,LTower,445,Bulbul,35,Mississippi,501,206
21456,AT&T,MTower,791,Sparrow,70,Missouri,489,201
21457,AT&T,LTower,657,Bulbul,21,Montana,490,114
21458,Mint Mobile,GTower,760,Kite,55,Nebraska,293,254
21459,Lyca Mobile,GTower,513,Spotted Dove,41,Nevada,456,109
21460,Verizon,MTower,486,Sparrow,48,New Hampshire,639,260
21461,T-Mobile,LTower,495,Sparrow,21,New Jersey,216,172
21462,Lyca Mobile,MTower,605,Bulbul,33,New Mexico,616,296
21463,AT&T,GTower,694,Kite,65,New York,657,176
21464,Mint Mobile,LTower,460,Bulbul,37,North Carolina,809,167
21465,Verizon,MTower,332,Sparrow,35,North Dakota,395,178
21466,Lyca Mobile,GTower,886,Spotted Dove,58,Ohio,646,145
21467,T-Mobile,LTower,456,Kite,48,Oklahoma,597,89
21468,AT&T,GTower,523,Bulbul,52,Oregon,299,50
21469,AT&T,LTower,459,Sparrow,25,Pennsylvania,251,137
21470,Mint Mobile,MTower,434,Spotted Dove,21,Rhode Island,725,76
21471,Lyca Mobile,LTower,843,Bulbul,51,South Carolina,842,58
21472,Verizon,GTower,422,Kite,66,South Dakota,567,134
21473,T-Mobile,GTower,454,Sparrow,32,Tennessee,820,275
21474,Lyca Mobile,MTower,464,Spotted Dove,56,Texas,767,197
21475,AT&T,LTower,552,Kite,39,Utah,217,252
21476,Mint Mobile,MTower,667,Bulbul,56,Vermont,798,197
21477,Verizon,GTower,457,Sparrow,69,Virginia,466,81
21478,Lyca Mobile,LTower,835,Bulbul,56,Washington,557,191
21479,T-Mobile,MTower,474,Kite,43,West Virginia,755,298
21480,AT&T,GTower,393,Spotted Dove,44,Wisconsin,724,228
21481,AT&T,LTower,480,Sparrow,49,Wyoming,209,202
21482,Mint Mobile,GTower,545,Sparrow,79,Montgomery,731,180
21483,Lyca Mobile,LTower,794,Bulbul,62,Juneau,249,154
21484,Verizon,MTower,707,Kite,74,Phoenix,123,272
21485,T-Mobile,LTower,775,Bulbul,69,Little Rock,190,86
21486,Lyca Mobile,GTower,468,Sparrow,42,Sacramento,139,128
21487,AT&T,GTower,489,Spotted Dove,70,Denver,847,177
21488,Mint Mobile,MTower,884,Kite,21,Hartford,623,181
21489,Verizon,LTower,818,Bulbul,42,Dover,217,155
21490,Lyca Mobile,MTower,353,Sparrow,21,Tallahassee,538,245
21491,T-Mobile,GTower,681,Spotted Dove,50,Atlanta,497,291
21492,AT&T,LTower,830,Bulbul,22,Honolulu,472,189
21493,AT&T,MTower,631,Kite,53,Boise,403,151
21494,Mint Mobile,GTower,876,Sparrow,76,Springfield,165,236
21495,Lyca Mobile,LTower,704,Spotted Dove,59,Indianapolis,478,114
21496,Verizon,GTower,329,Kite,59,Des Moines,820,101
21497,T-Mobile,LTower,705,Bulbul,40,Topeka,402,296
21498,Lyca Mobile,MTower,499,Sparrow,40,Frankfort,413,281
21499,AT&T,LTower,402,Bulbul,68,Baton Rouge,694,55
21500,Mint Mobile,GTower,788,Kite,39,Augusta,660,143
21501,Verizon,GTower,626,Spotted Dove,67,Annapolis,367,153
21502,Lyca Mobile,MTower,839,Sparrow,68,Boston,523,174
21503,T-Mobile,LTower,678,Sparrow,77,Lansing,440,74
21504,AT&T,MTower,563,Bulbul,71,St. Paul,193,171
21505,AT&T,GTower,652,Kite,44,Jackson,675,170
21506,Mint Mobile,LTower,563,Bulbul,41,Jefferson City,262,236
21507,Lyca Mobile,MTower,387,Sparrow,39,Helena,404,238
21508,Verizon,GTower,551,Spotted Dove,30,Lincoln,153,229
21509,T-Mobile,LTower,662,Kite,53,Carson City,765,64
21510,Lyca Mobile,GTower,342,Bulbul,47,Concord,453,70
21511,AT&T,LTower,792,Sparrow,55,Trenton,625,51
21512,Mint Mobile,MTower,411,Spotted Dove,44,Santa Fe,421,192
21513,Verizon,LTower,340,Bulbul,67,Albany,392,119
21514,Lyca Mobile,GTower,708,Kite,58,Raleigh,243,175
21515,T-Mobile,GTower,859,Sparrow,49,Bismarck,852,159
21516,AT&T,MTower,780,Spotted Dove,67,Columbus,497,121
21517,AT&T,LTower,360,Kite,56,Oklahoma City,638,80
21518,Mint Mobile,MTower,678,Bulbul,31,Salem,245,142
21519,Lyca Mobile,GTower,433,Sparrow,29,Harrisburg,783,155
21520,Verizon,LTower,454,Bulbul,52,Providence,200,227
21521,T-Mobile,MTower,589,Kite,46,Columbia,213,89
21522,Lyca Mobile,GTower,447,Spotted Dove,74,Pierre,752,81
21523,AT&T,LTower,552,Sparrow,33,Nashville,857,116
21524,Mint Mobile,GTower,351,Sparrow,20,Austin,797,115
21525,Verizon,LTower,827,Bulbul,38,Salt Lake City,554,168
21526,Lyca Mobile,MTower,344,Kite,26,Montpelier,291,289
21527,T-Mobile,LTower,586,Bulbul,67,Richmond,187,104
21528,AT&T,GTower,412,Sparrow,25,Olympia,390,131
21529,AT&T,GTower,316,Spotted Dove,65,Charleston,593,257
21530,Mint Mobile,MTower,644,Kite,62,Madison,111,250
21531,Lyca Mobile,LTower,358,Bulbul,29,Cheyenne,361,163
21532,Verizon,MTower,380,Sparrow,52,Alabama,800,233
21533,T-Mobile,GTower,494,Spotted Dove,72,Alaska,194,219
21534,Lyca Mobile,LTower,792,Bulbul,37,Arizona,666,137
21535,AT&T,MTower,893,Kite,58,Arkansas,260,226
21536,Mint Mobile,GTower,850,Sparrow,32,California,107,167
21537,Verizon,LTower,825,Spotted Dove,74,Colorado,696,203
21538,Lyca Mobile,GTower,689,Kite,40,Connecticut,695,93
21539,T-Mobile,LTower,595,Bulbul,34,Delaware,526,273
21540,AT&T,MTower,891,Sparrow,47,Florida,186,214
21541,AT&T,LTower,432,Bulbul,33,Georgia,455,170
21542,Mint Mobile,GTower,361,Kite,37,Hawaii,309,218
21543,Lyca Mobile,GTower,307,Spotted Dove,25,Idaho,327,185
21544,Verizon,MTower,727,Sparrow,68,Illinois,175,213
21545,T-Mobile,LTower,727,Sparrow,53,Indiana,171,225
21546,Lyca Mobile,MTower,556,Bulbul,55,Iowa,842,102
21547,AT&T,GTower,473,Kite,43,Kansas,544,283
21548,Mint Mobile,LTower,441,Bulbul,33,Kentucky,399,241
21549,Verizon,MTower,816,Sparrow,61,Louisiana,154,205
21550,Lyca Mobile,GTower,630,Spotted Dove,29,Maine,169,174
21551,T-Mobile,LTower,495,Kite,75,Maryland,711,214
21552,AT&T,GTower,745,Bulbul,74,Massachusetts,110,195
21553,AT&T,LTower,703,Sparrow,56,Michigan,654,297
21554,Mint Mobile,MTower,569,Spotted Dove,78,Minnesota,167,270
21555,Lyca Mobile,LTower,479,Bulbul,80,Mississippi,771,245
21556,Verizon,GTower,502,Kite,29,Missouri,315,213
21557,T-Mobile,GTower,848,Sparrow,32,Montana,742,197
21558,Lyca Mobile,MTower,704,Spotted Dove,56,Nebraska,892,89
21559,AT&T,LTower,647,Kite,53,Nevada,779,92
21560,Mint Mobile,MTower,756,Bulbul,38,New Hampshire,257,96
21561,Verizon,GTower,738,Sparrow,52,New Jersey,105,300
21562,Lyca Mobile,LTower,325,Bulbul,77,New Mexico,831,201
21563,T-Mobile,MTower,438,Kite,73,New York,416,109
21564,AT&T,GTower,387,Spotted Dove,75,North Carolina,769,105
21565,AT&T,LTower,464,Sparrow,58,North Dakota,652,278
21566,Mint Mobile,GTower,579,Sparrow,56,Ohio,662,187
21567,Lyca Mobile,LTower,633,Bulbul,23,Oklahoma,711,112
21568,Verizon,MTower,729,Kite,58,Vermont,633,198
21569,T-Mobile,LTower,567,Bulbul,69,Virginia,574,285
21570,Lyca Mobile,GTower,501,Sparrow,53,Washington,194,164
21571,AT&T,GTower,643,Spotted Dove,77,West Virginia,568,110
21572,Mint Mobile,MTower,753,Kite,56,Wisconsin,592,243
21573,Verizon,LTower,592,Bulbul,72,Wyoming,380,96
21574,Lyca Mobile,MTower,849,Sparrow,33,Montgomery,297,151
21575,T-Mobile,GTower,844,Spotted Dove,53,Juneau,202,67
21576,AT&T,LTower,825,Bulbul,23,Phoenix,137,244
21577,AT&T,MTower,723,Kite,45,Little Rock,548,215
21578,Mint Mobile,GTower,898,Sparrow,66,Sacramento,357,249
21579,Lyca Mobile,LTower,833,Spotted Dove,75,Denver,861,258
21580,Verizon,GTower,754,Kite,21,Hartford,790,225
21581,T-Mobile,LTower,626,Bulbul,25,Dover,418,130
21582,Lyca Mobile,MTower,869,Sparrow,27,Tallahassee,519,174
21583,AT&T,LTower,658,Bulbul,25,Atlanta,359,225
21584,Mint Mobile,GTower,790,Kite,66,Honolulu,859,282
21585,Verizon,GTower,653,Spotted Dove,27,Boise,866,120
21586,Lyca Mobile,MTower,495,Sparrow,56,Springfield,769,295
21587,T-Mobile,LTower,516,Sparrow,22,Indianapolis,254,145
21588,AT&T,MTower,623,Bulbul,40,Des Moines,555,280
21589,AT&T,GTower,492,Kite,41,Topeka,201,277
21590,Mint Mobile,LTower,854,Bulbul,48,Frankfort,814,287
21591,Lyca Mobile,MTower,754,Sparrow,80,Baton Rouge,562,251
21592,Verizon,GTower,714,Spotted Dove,22,Augusta,663,231
21593,T-Mobile,LTower,583,Kite,69,Annapolis,407,162
21594,Lyca Mobile,GTower,733,Bulbul,57,Boston,274,105
21595,AT&T,LTower,818,Sparrow,31,Lansing,829,174
21596,Mint Mobile,MTower,648,Spotted Dove,71,St. Paul,355,95
21597,Verizon,LTower,415,Bulbul,30,Jackson,865,161
21598,Lyca Mobile,GTower,618,Kite,50,Jefferson City,644,163
21599,T-Mobile,GTower,534,Sparrow,44,Helena,586,233
21600,AT&T,MTower,489,Spotted Dove,52,Lincoln,517,161
21601,AT&T,LTower,760,Kite,24,Carson City,739,157
21602,Mint Mobile,MTower,677,Bulbul,33,Concord,346,252
21603,Lyca Mobile,GTower,439,Sparrow,77,Trenton,652,93
21604,Verizon,LTower,815,Bulbul,38,Santa Fe,575,158
21605,T-Mobile,MTower,676,Kite,68,Albany,619,257
21606,Lyca Mobile,GTower,332,Spotted Dove,41,Raleigh,157,150
21607,AT&T,LTower,704,Sparrow,77,Bismarck,425,187
21608,Mint Mobile,GTower,730,Sparrow,23,Columbus,666,297
21609,Verizon,LTower,680,Bulbul,66,Oklahoma City,435,247
21610,Lyca Mobile,MTower,661,Kite,39,Salem,716,230
21611,T-Mobile,LTower,349,Bulbul,51,Harrisburg,408,51
21612,AT&T,GTower,537,Sparrow,31,Providence,805,159
21613,AT&T,GTower,590,Spotted Dove,47,Columbia,683,292
21614,Mint Mobile,MTower,638,Kite,79,Pierre,232,57
21615,Lyca Mobile,LTower,680,Bulbul,31,Nashville,773,97
21616,Verizon,MTower,738,Sparrow,63,Austin,860,242
21617,T-Mobile,GTower,682,Spotted Dove,64,Salt Lake City,532,157
21618,Lyca Mobile,LTower,760,Bulbul,72,Montpelier,200,231
21619,AT&T,MTower,412,Kite,53,Richmond,327,278
21620,Mint Mobile,GTower,477,Sparrow,67,Olympia,248,290
21621,Verizon,LTower,694,Spotted Dove,34,Charleston,721,115
21622,Lyca Mobile,GTower,357,Kite,54,Madison,874,130
21623,T-Mobile,LTower,437,Bulbul,62,Cheyenne,871,300
21624,AT&T,MTower,526,Sparrow,66,Alabama,292,102
21625,AT&T,LTower,716,Bulbul,30,Alaska,320,211
21626,Mint Mobile,GTower,338,Kite,77,Arizona,337,265
21627,Lyca Mobile,GTower,305,Spotted Dove,25,Arkansas,390,292
21628,Verizon,MTower,900,Sparrow,53,California,501,269
21629,T-Mobile,LTower,758,Sparrow,43,Colorado,803,251
21630,Lyca Mobile,MTower,799,Bulbul,76,Connecticut,638,172
21631,AT&T,GTower,575,Kite,68,Delaware,886,206
21632,Mint Mobile,LTower,473,Bulbul,73,Florida,181,111
21633,Verizon,MTower,791,Sparrow,23,Georgia,110,118
21634,Lyca Mobile,GTower,508,Spotted Dove,48,Hawaii,890,169
21635,T-Mobile,LTower,707,Kite,29,Idaho,126,260
21636,AT&T,GTower,437,Bulbul,37,Illinois,518,99
21637,AT&T,LTower,798,Sparrow,20,Indiana,309,225
21638,Mint Mobile,MTower,372,Spotted Dove,75,Iowa,518,78
21639,Lyca Mobile,LTower,536,Bulbul,26,Kansas,256,68
21640,Verizon,GTower,741,Kite,23,Kentucky,488,249
21641,T-Mobile,GTower,410,Sparrow,53,Louisiana,585,151
21642,Lyca Mobile,MTower,683,Spotted Dove,55,Maine,189,128
21643,AT&T,LTower,657,Kite,76,Maryland,640,103
21644,Mint Mobile,MTower,406,Bulbul,26,Massachusetts,862,247
21645,Verizon,GTower,584,Sparrow,35,Michigan,393,278
21646,Lyca Mobile,LTower,838,Bulbul,33,Minnesota,329,261
21647,T-Mobile,MTower,496,Kite,76,Mississippi,726,72
21648,AT&T,GTower,482,Spotted Dove,24,Missouri,253,287
21649,AT&T,LTower,873,Sparrow,36,Montana,853,145
21650,Mint Mobile,GTower,395,Sparrow,60,Nebraska,579,252
21651,Lyca Mobile,LTower,722,Bulbul,70,Nevada,502,94
21652,Verizon,MTower,403,Kite,34,New Hampshire,126,175
21653,T-Mobile,LTower,710,Bulbul,73,New Jersey,346,126
21654,Lyca Mobile,GTower,443,Sparrow,46,New Mexico,600,78
21655,AT&T,GTower,306,Spotted Dove,55,New York,404,130
21656,Mint Mobile,MTower,368,Kite,50,North Carolina,478,149
21657,Verizon,LTower,684,Bulbul,75,North Dakota,817,231
